,singkatan,baku
2384,mampos,mampus
2385,them,mereka
2386,tanggepin,menanggapi
2387,aplg,apalagi
2388,kenyataanya,kenyataan
2389,uncontrol,lepas kendali
2390,pnjg,panjang
2391,attacknya,serangan
2392,terrible,ngeri
2393,maker,pembuat
2394,maker nya,pembuat
2395,dumb,bodoh
2396,destroy,menghancurkan
2397,brands,merek
2398,ciye,cie
2399,ngritik,kritik
2400,drafternya,draf
2401,font nya,jenis huruf
2402,font,jenis huruf
2403,astagaa,astaga
2404,sebegtu,sebegitu
2405,lil,kecil
2406,bit,sedikit
2407,lil bit,sedikit
2408,hhaadeehh,hadeh
2409,bg,bagi
2410,endak,tidak
2411,lawong,orang
2412,rill,nyata
2413,dicounter,melawan
2414,honestly,sejujurnya
2415,komentarin,komentar
2416,idup,hidup
2417,kenek,kena
2418,kudune,harusnya
2419,sik,dulu
2420,nek enek,jika ada
2421,hy,hanya
2422,piyik,kecil
2423,keleus,kali
2424,dimasukin,masuk
2425,uuite,undang-undang informasi dan transaksi elektronik
2426,saranin,saran
2427,diterusin,diteruskan
2428,udahalah,sudahlah
2429,have,mempunyai
2430,movementnya,langkah
2431,powerplay,kekuasaan
2432,nder,sender
2433,poko,pokok
2434,chzu,chizu
2435,sbgian,sebagian
2436,hits,hit
2437,demen,suka
2438,non,tidak
2439,beud,banget
2440,non sense,omong kosong
2441,virel,viral
2442,lebi,lebih
2443,cem,macam
2444,er,eiger
2445,tanggapin,menanggapi
2446,overpriced,terlalu mahal
2447,jah,yah
2448,damage,kerugian
2449,controlnya,kontrol
2450,dha,dah
2451,es the,es teh
2452,nyeremin,seram
2453,pls,tolong
2454,pulsa,tolong
2455,misinformasi,salah informasi
2456,ngonten,membuat konten
2457,ngetwitt,membuat tweet
2458,brand nya,brand
2459,haduhh,haduh
2460,critique,kritik
2461,dulunya,dahulu
2462,bruh,kawan
2463,bilangin,bilang
2464,papa,apa-apa
2465,variant,varian
2466,viralnya,viral
2467,instead,alih-alih
2468,esmosi,emosi
2469,ngecemarin,mencemarkan
2470,lho,loh
2471,toxic,buruk
2472,diancem,diancam
2473,okee,oke
2474,ajaa,saja
2475,dihandle,menangani
2476,mengkritikny,kritik
2477,backlash,reaksi
2478,saved,simpan
2479,the letter,surat itu
2480,sebarin,sebar
2481,buy,beli
2482,dilepeh,muntah
2483,di lepeh,muntah
2484,sekip,lewat
2485,chef,koki
2486,marnat,mana
2487,upload,mengunggah
2488,cz,chizu
2489,didiemin,diam
2490,segitunya,sebegitunya
2491,ra,tidak
2492,ngombe,minum
2493,pathekan,apa-apa
2494,uhh,uh
2495,idk,saya tidak tahu
2496,let it be,membiarkan
2497,bgst,bangsat
2498,bukanya,bukannya
2499,orkay,orang kaya
2500,taste,rasa
2501,gerai nya,gerai
2502,silahkan,silakan
2503,ben,biar
2504,menyebabknan,menyebabkan
2505,kerugiaan,kerugian
2506,restorative,restoratif
2507,ginisih,begini sih
2508,egk,tidak
2509,she,sih
2510,minuman nya,minuman
2511,sori,maaf
2512,pengemis,kemis
2513,economy,ekonomi
2514,diperjualbelikan,memperjualbelikan
2515,tersevut,tersebut
2516,berekpresi,berekspresi
2517,ass,pantat
2518,ngoreksi,koreksi
2519,doxxing,doksing
2520,baikin,bersifat baik
2521,nyampah,sampah
2522,hiperbola,hiperbolis
2523,main ny,mainnya
2524,coii,coy
2525,oyy,oi
2526,oy,oi
2527,a,sebuah
2528,dilampiri,dilampirkan
2529,end,akhirnya
2530,c,chizu
2531,sugar,gula
2532,enek,ada
2533,nying,anjing
2534,anjrit,anjir
2535,yaqueenn,yakin
2536,wartegnya,warung tegal
2537,wuis,wah
2538,wiih,wah
2539,wei,oi
2540,waw,wow
2541,voice,suara
2542,viralkan,viral
2543,uud,undang undang dasar
2544,unhealthy,tidak sehat
2545,ultraprocessed,ultra proses
2546,udahmah,sudah mah
2547,ui,universitas indonesia
2548,twiiter,twitter
2549,twit,tweet
2550,ketir,ketir
2551,there,di sana
2552,tertawa,tertawa
2553,tele,tahi
2554,tehesindo,es teh indonesia
2555,tedekat,terdekat
2556,tau,tahu
2557,stunt,aksi
2558,standingnya,kedudukan
2559,stand,berdiri
2560,somehow,bagaimanapun
2561,snk,syarat dan ketentuan
2562,slavinah,slavina
2563,siomai,siomay
2564,should,harus
2565,shit,sial
2566,sesaset,satu saset
2567,segerr,segar
2568,screw,dasar
2569,sayabajerestehindonesia,saya buzzer es teh indonesia
2570,resto,restoran
2571,republic,republik
2572,rephrase,parafrasa
2573,relations,hubungan
2574,rejeki,rezeki
2575,record,catatan
2576,recokin,recok
2577,realnya,nyata
2578,prubahan,perubahan
2579,prrmohonan,permohonan
2580,problem,masalah
2581,plastic,plastik
2582,pink,merah muda
2583,perushaan,perusahaan
2584,penyalahgunaan,salah guna
2585,pede,percaya diri
2586,pemasukannya,pemasukan
2587,paporitchizu,favorit chizu
2588,opening,pembukaan
2589,omset,omzet
2590,woi,oi
2591,woy,oi
2592,offense,menyinggung
2593,nutrion,nutrisi
2594,ngomong,berbicara
2595,ngeyel,eyel
2596,ngetwiit,membuat tweet
2597,ngetweet,membuat tweet
2598,ngerespon,respons
2599,ngambek,merajuk
2600,ngasal,sembarangan
2601,ngait,kait
2602,ngaku,mengaku
2603,nang,di
2604,nasehat,nasihat
2605,nahita,nagita
2606,muanise,manis
2607,mu,kamu
2608,miss,salah
2609,mishandled,salah penanganan
2610,minumanya,minum
2611,minumanny,minum
2612,milky,susu
2613,mengkiritk,kritik
2614,mengesampingkanseolah,mengesampingkan olah
2615,mengahadapi,menghadapi
2616,mendem,terpuruk
2617,memviralkan,membuat viral
2618,memperjualbelikan,jual beli
2619,memeberikan,memberikan
2620,memberitahu,memberi tahu
2621,mejadikan,menjadikan
2622,marcom,komunikasi pemasaran
2623,mall,mal
2624,males,malas
2625,makjrengnya,makjreng
2626,makasi,terima kasih
2627,mabis,manis
2628,lychee,leci
2629,luarbiasa,luar biasa
2630,lihatin,lihat
2631,lewan,lewat
2632,letter,surat
2633,lets,ayo
2634,let,biarlah
2635,lemonadeberry,lemonade berry
2636,leds,lebih sedikit
2637,lebay,lebai
2638,leading,memimpin
2639,leaflet,selebaran
2640,lagigak,lagi tidak
2641,laden,melayani
2642,kritikk,kritik
2643,korkom,koordinator komisariat
2644,kompalainan,keluhan
2645,komen,komentar
2646,klrafikasi,klarifikasi
2647,kirimin,kirim
2648,keubun,ubun
2649,ketulungan,keterlaluan
2650,ketidaksukaan,tidak suka
2651,ketidakpuasan,tidak puas
2652,pengen,ingin
2653,kemaisan,kemanisan
2654,keknyaa,sepertinya
2655,kekanak,kanak-kanak
2656,kebangetaan,kebangetan
2657,katai,hina
2658,jungi,kunjungi
2659,jugaa,juga
2660,jatuhin,jatuh
2661,janngan,jangan
2662,intrsopeksi,introspeksi
2663,instrospeksi,introspeksi
2664,infografis,infografik
2665,indonesias,indonesia
2666,indhom,indihome
2667,indhme,indihome
2668,ikutin,ikut
2669,idea,ide
2670,huuu,hu
2671,human,manusia
2672,hujatanmakian,hujatan makian
2673,hiya,iya
2674,highlight,menyorot
2675,helloo,halo
2676,haduh,waduh
2677,gundilnya,gundil
2678,green,hijau
2679,grand,besar
2680,goodluck,semoga beruntung
2681,go,gofood
2682,ghendoy,ghandoyy
2683,ghaudy,ghandoyy
2684,ghandoy,ghandoyy
2685,ghandi,ghandoyy
2686,gemez,gemas
2687,gede,besar
2688,gandoy,ghandoyy
2689,gandi,ghandoyy
2690,gandhuy,ghandoyy
2691,gandhoyy,ghandoyy
2692,gandhi,ghandoyy
2693,gandhoy,ghandoyy
2694,fuss,keributan
2695,flag,bahaya
2696,fixed,fix
2697,esti,es teh indonesia
2698,estehindo,es teh indonesia
2699,est,es teh indonesia
2700,eskpresi,ekspresi
2701,escendolindonesia,es cendol indonesia
2702,emang,memang
2703,ekspetasi,ekspektasi 
2704,duluan,dahulu
2705,driapda,daripada
2706,don,tidak
2707,ditujukkan,ditujukan
2708,ditanggapin,tanggap
2709,direview,ulasan
2710,diarahin,diarahkan
2711,dessert,hidangan penutup
2712,dengn,dengan
2713,definition,definisi
2714,dah,sudah
2715,daftarin,daftar
2716,cuit,tweet
2717,criticism,kritik
2718,creamy,lembut
2719,costumer,pelanggan
2720,conclusion,kesimpulan
2721,cookiescream,cookies cream
2722,corn,jagung
2723,coast,biaya
2724,clear,jelas
2725,cleanser,pembersih
2726,chtme,chatime
2727,chizzu,chizu
2728,china,cina
2729,chesse,keju
2730,catering,katering
2731,care,layanan
2732,belur,balur
2733,kuburanya,kuburan
2734,bund,bunda
2735,bu,ibu
2736,booming,naik
2737,bgaimana,bagaimana
2738,berterimakasih,terima kasih
2739,berlebihann,berlebihan
2740,berlakukepatutan,berlaku kepatutan
2741,berfikirnya,berpikir
2742,berfikir,berpikir
2743,berekspektasi,ekspektasi 
2744,beauty,kecantikan
2745,bankrut,bangkrut
2746,bangat,banget
2747,banana,pisang
2748,balesnya,balas
2749,bali,kali
2750,backfirenya,serangan balik
2751,attitude,sikap
2752,at,pada
2753,astaghfirullah,astagfirullah
2754,as,sebagai
2755,any,setiap
2756,beramai,ramai
2757,allhamdulilah,alhamdulillah
2758,ais,ai
2759,beragam,ragam
2760,adminya,admin
2761,about,tentang
2762,abang,abang
2763,kementrian,kementerian
2764,counter,melawan
2765,pembelinya,pembeli
2766,begerak,bergerak
2767,becanda,bercanda
2768,barusan,baru saja
2769,true ,benar
2770,adem,santai
2771,baper,terbawa perasaan
2772,bejibun,banyak
2773,belepotan,tidak rapi
2774,brengsek,berengsek
2775,bumn,badan usaha milik negara
2776,degan,takut
2777,digruduk,serbu
2778,ditanggapin,menanggapi
2779,eskpresi,ekspresi
2780,eyd,ejaan yang disempurnakan
2781,gede,besar
2782,humas,hubungan masyarakat
2783,ilfilnya,hilang rasa
2784,indoapril,indomart
2785,kai,kereta api indonesia
2786,amburadul,berantakan
2787,berantem,bertengkar
2788,antek,kaki tangan
2789,asu,anjing
2790,dibarengi,diikuti
2791,bareng,bersama
2792,mikir,berpikir
2793,mikirnya,berpikir
2794,mikirny,berpikir
2795,bikon,buat
2796,bikin,buat
2797,budek,tuli
2798,cuan,untung
2799,dadah,selamat tinggal
2800,darimana,dari mana
2801,dam,terpuruk
2802,mendam,terpuruk
2803,emg,memang
2804,eskpresi,ekspresi
2805,gegabah,ceroboh
2806,gitu,begitu
2807,gimana,bagaimana
2808,goblok,bodoh
2809,digituin,begitu
2810,gmnasi,bagaimana
2811,gmnaa,bagaimana
2812,hai,halo
2813,komen,komentar
2814,comment,komentar
2815,komersil,komersial
2816,ngeladenin,menanggapi
2817,meladeni,menanggapi
2818,kuhp,kitab undang-undang hukum pidana
2819,gulebay,gula lebai
2820,lwbay,lebai
2821,liatin,lihat
2822,malez ,malas
2823,viralin,membuat viral
2824,koplak,lucu
2825,mencak,marah
2826,misuh,memaki
2827,modar,mati
2828,muhasabah,introspeksi
2829,advice,nasihat
2830,nangis,tangis
2831,mewek,tangis
2832,ngambek,merajuk
2833,point,poin
2834,spbu,stasiun pengisian bahan bakar umum
2835,sanking,karena sangat
2836,sebel,sebal
2837,kesebelan,sebal
2838,omsetmu,omzet
2839,mengiyakan,setuju
2840,warteg,warung tegal
2841,warganet,warga internet
2842,yuk,ayo
2843,ujug,tiba
2844,veggie,vegetarian
2845,tks,terima kasih
2846,thanks,terima kasih
2847,gatau,tidak tahu
2848,tapikan,tetapi
2849,tapipun,tetapi
2850,osis,organisasi siswa intrasekolah
2851,pln,perusahaan listrik negara
2852,persero,perusahaan perseroan
2853,sarkas,sarkasme
2854,hoek,mual
2855,bilang,berbicara
2856,omong,berbicara
2857,ngomong,berbicara
2858,ngotot,mengotot
2859,ketimbang,daripada
2860,legal,hukum
2861,simpel,mudah
2862,standing,kedudukan
2863,simple,mudah
2864,sepet,sepat
2865,seilfil,hilang rasa
2866,resek,usil
2867,nyelekit,menyakitkan hati
2868,ngetwit,membuat tweet
2869,ngebet,rasa ingin sekali
2870,ketar ketir,khawatir
2871,terlau,terlalu
2872,ditelen,telan
2873,taulah,tahu
2874,gtw,tidak tahu
2875,standingya,kedudukan
2876,sok,berlagak
2877,sepetnya,sepat
2878,sekalinya,sekali
2879,receh,sepele
2880,posting,pos
2881,postingan,unggahan
2882,dipoin,poin
2883,poll,banget
2884,pol,banget
2885,btw,berbicara
2886,ngawur,sembarangan
2887,modar,mati
2888,micin,vetsin
2889,mnding,lebih baik
2890,mendingan,lebih baik
2891,mampet,pampat
2892,mampus,mati
2893,kumat,kambuh
2894,kompeni,perusahaan
